eComm Target KPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Even Revenue,"€90,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Even MER target,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOV Blended target,€50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOV NC target,€48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOV RC target,€60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aMER,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blended nCAC,€19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg CPS,€11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC Revenue %,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC Revenue %,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC Revenue / nCAC target,>1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC ROAS Meta (click-based),1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC ROAS Google Non Branded,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTV,€113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTV Margin / CAC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaaS Target KPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTV (ARPU* avg retention months),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churn Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retention Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payback Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nCAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC ROAS (click-based),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blended POAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTV / CAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2B Target KPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQL %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQL %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closed Opps %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Conversion Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Deal Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Cycle Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTV (ADL*Transactions*contract length),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTV / CAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blended POAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
