Celle da compilare 👇,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Day,Total Spend,Total Revenue,New Customer Revenue,Returning Customer Revenue,nCAC,aMER,MER,Meta Spend,Meta Revenue,Meta ROAS,Google Spend,Google Revenue,Google ROAS,TikTok Spend,TikTok Revenue,TikTok ROAS,Pinterest Spend,Pinterest Revenue,Pinterest ROAS
"Sunday, July 14, 2024",€ 502,"€ 2,272",,,,€ 0.0,4.53,€ 399,"€ 1,446",3.62,€ 64,€ 857,13.39,€ 24,€ 39,1.63,€ 15,€ 90,6.00
"Monday, July 15, 2024",€ 523,"€ 3,374",,,,€ 0.0,6.45,€ 387,"€ 2,093",5.41,€ 96,€ 953,9.93,€ 26,€ 167,6.42,€ 14,€ 0,0.00
"Tuesday, July 16, 2024",€ 501,"€ 1,355",,,,€ 0.0,2.70,€ 380,€ 485,1.28,€ 79,€ 391,4.95,€ 27,€ 106,3.93,€ 15,€ 0,0.00
"Wednesday, July 17, 2024",€ 476,"€ 4,275",,,,€ 0.0,8.98,€ 373,"€ 1,669",4.47,€ 64,"€ 1,370",21.41,€ 24,€ 70,2.92,€ 15,€ 0,0.00
"Thursday, July 18, 2024",€ 487,"€ 2,819",,,,€ 0.0,5.79,€ 376,"€ 1,571",4.18,€ 74,€ 729,9.85,€ 22,€ 55,2.50,€ 15,€ 0,0.00
"Friday, July 19, 2024",€ 478,"€ 1,384",,,,€ 0.0,2.90,€ 379,"€ 1,005",2.65,€ 61,€ 215,3.52,€ 23,€ 0,0.00,€ 15,€ 20,1.33
"Saturday, July 20, 2024",€ 507,"€ 1,683",,,,€ 0.0,3.32,€ 386,€ 872,2.26,€ 82,€ 432,5.27,€ 22,€ 0,0.00,€ 17,€ 79,4.65
"Sunday, July 21, 2024",€ 521,"€ 4,835",,,,€ 0.0,9.28,€ 408,"€ 2,442",5.99,€ 72,€ 430,5.97,€ 24,€ 0,0.00,€ 17,€ 77,4.53
"Monday, July 22, 2024",€ 555,"€ 6,700",,,,€ 0.0,12.07,€ 457,"€ 2,991",6.54,€ 59,€ 744,12.61,€ 24,€ 113,4.71,€ 15,€ 422,28.13
"Tuesday, July 23, 2024",€ 784,"€ 4,852",,,,€ 0.0,6.19,€ 660,"€ 2,350",3.56,€ 90,€ 937,10.41,€ 19,€ 76,4.00,€ 15,€ 78,5.20
"Wednesday, July 24, 2024",€ 796,"€ 4,873",,,,€ 0.0,6.12,€ 689,"€ 2,798",4.06,€ 64,"€ 1,009",15.77,€ 28,€ 183,6.54,€ 15,€ 0,0.00
"Thursday, July 25, 2024",€ 556,"€ 2,702",,,,€ 0.0,4.86,€ 449,"€ 1,374",3.06,€ 66,€ 451,6.83,€ 26,€ 163,6.27,€ 15,€ 0,0.00
"Friday, July 26, 2024",€ 522,"€ 1,749",,,,€ 0.0,3.35,€ 415,"€ 1,118",2.69,€ 72,€ 474,6.58,€ 20,€ 35,1.75,€ 15,€ 0,0.00
"Saturday, July 27, 2024",€ 460,"€ 1,917",,,,€ 0.0,4.17,€ 359,"€ 1,082",3.01,€ 60,€ 571,9.52,€ 26,€ 86,3.31,€ 15,€ 25,1.67
"Sunday, July 28, 2024",€ 482,"€ 2,275",,,,€ 0.0,4.72,€ 370,€ 941,2.54,€ 73,€ 797,10.92,€ 24,€ 58,2.42,€ 15,€ 0,0.00
"Monday, July 29, 2024",€ 473,"€ 2,307",,,,€ 0.0,4.88,€ 355,"€ 1,442",4.06,€ 76,€ 758,9.97,€ 27,€ 137,5.07,€ 15,€ 0,0.00
"Tuesday, July 30, 2024",€ 567,"€ 8,530",,,,€ 0.0,15.04,€ 473,"€ 3,618",7.65,€ 55,€ 830,15.09,€ 24,€ 0,0.00,€ 15,€ 82,5.47
"Wednesday, July 31, 2024",€ 495,"€ 2,087",,,,€ 0.0,4.22,€ 377,"€ 1,470",3.90,€ 79,€ 577,7.30,€ 24,€ 82,3.42,€ 15,€ 0,0.00
TOTAL,"€ 16,408.88","€ 96,552",,,,€ 0.0,5.9,"€ 12,911.07","€ 49,817",3.9,"€ 2,285.81","€ 23,951",10.5,€ 746.00,"€ 2,915",3.9,€ 466.00,"€ 1,741",3.7
