Step,Area,Obiettivo,Prompt / Input
2,Market Research,Insights e Hooks,"Basandoti sulla target audience qui sotto, genera 10 angoli per contenuti che catturerebbero molto probabilmente la loro attenzione. 

Sii estremamente specifico nell'angolazione del contenuto.


Contesto = Utilizzare intuizioni approfondite sul pubblico ci permette di creare contenuti che parlano direttamente agli interessi, ai bisogni e ai punti critici del tuo pubblico. Ciò ci consente di creare agganci che risuoneranno e coinvolgeranno, e guiderà la direzione complessiva del tuo contenuto.

Target audience:"
2,Market Research,Value Proposition,"Voglio che tu agisca come un marketing strategist con più di 10 anni di esperienza.

Voglio applicare la piramide degli elementi del valore di Bain & Company al mio business per migliorare la nostra offerta e soddisfare meglio le esigenze dei nostri clienti. 

Trovi i dettagli di questo framework qui: https://media.bain.com/elements-of-value/


Task: 
Crea una value proposition suscettibile di generare interesse, attrarre clienti qualificati, massimizzare il tasso di conversione sul sito. 

La value proposition deve essere chiara, specifica, rilevante e parlare a un target preciso.

Basandoti sulle informazioni fornite, aiutami ad applicare i vari elementi della piramide degli elementi del valore di Bain & Company per migliorare la mia offerta e soddisfare meglio le esigenze dei miei clienti.


Output:

Step 1: Aiutami a identificare:
- Elementi Funzionali che posso integrare o migliorare nei miei prodotti o servizi.
- Elementi Emotivi che posso enfatizzare per creare una connessione più forte con i miei clienti.
- Elementi di Cambiamento di Vita che posso introdurre per offrire un impatto più profondo e significativo.
- Elementi di Impatto Sociale che posso considerare per contribuire positivamente alla società e migliorare la percezione del mio brand.

Step 2: una volta identificati gli elementi qui sopra, proponi anche:
- una sintesi della migliore value proposition che posso testare per validare il prodotto/servizio
- 3 proposte concise di value proposition da utilizzare nelle headline e subheadlines del sito
- Il segmento target
- Lista di 3 esperimenti pratici che possiamo condurre sui canali digitali



Contesto:
Ecco alcune informazioni di contesto sul mio business da utilizzare per definire la Value Proposition:

[Tipologia di Business]

[Descrizione brand]

[Categoria prodotto]

[Prodotti/Servizi Offerti]

[Key Segment]

[Target market]

[Pain Points]

[Desideri]

[Valori e Mission]




"
2,Market Research,Pain Points,"Ora definisci i 5 principali pain point, problemi o frustrazioni principali dei consumatori del prodotto qui sotto.

Descrizione brand:

Categoria prodotto:

Target audience:

Target market"
2,Market Research,USPs,"Ora definisci le 3 principali USP del prodotto qui sotto.

Descrizione brand:

Categoria prodotto:

Target audience:

Target market"
2,Market Research,FAQ,"Ora definisci le 5 principali FAQ (domande più frequenti) effettuate dagli utenti online sulla categoria di prodotto qui sotto.

Categoria prodotto:

Target audience:

Target market"
2,Market Research,Emotional Benefits - Goals & Desires,"Ora definisci dal punto di vista emozionale quali sono i 3-5 principali desideri e ambizioni dei consumatori di prodotti indicati qui sotto.

Categoria prodotto:

Target audience:

Target market"
2,Market Research,Functional Benefits,"Ora definisci dal punto di vista funzionale quali sono i 3-5 principali benefici del prodotto indicato qui sotto:

Categoria prodotto:

Target audience:

Target market"
2,Market Research,Obiezioni,"Adesso fai una lista delle principali 3 obiezioni per cui il cliente target potrebbe decidere di non comprare sulla base del target market e delle caratteristiche del prodotto.

Utilizza le informazioni qui sotto come contesto.

Descrizione brand:

Categoria prodotto:

Target audience:"
2,Market Research,Risposte alle obiezioni,Ora fai la tua migliore ipotesi su come rispondere a queste obiezioni in modo da convincere il consumatore che il nostro prodotto è la scelta migliore sul mercato.
2,Market Research,"Offers, Incentives & Promotional Plan","Ora agisci come un marketing strategist. Sulla base delle informazioni qui sotto, fornisci:

- 10 offerte da utilizzare per il nostro prodotto
- 10 attività promozionali da utilizzare all'interno della strategia di marketing
- 10 incentivi non monetari


Categoria prodotto:

Target audience:

Target market:"
2,Market Research,Behavioural Marketing Principles,"Ora agisci come uno psicologo comportamentale. Sulla base delle informazioni qui sotto, fai una lista dei principi comportamentali più rilevanti perché la target audience consideri l'acquisto del prodotto. 

Organizzali per fase del funnel (awareness, consideration, conversion)

Categoria prodotto:

Target audience:

Target market:"
2,Market Research,Trigger Events,"Ora fai una lista dei principali 3 ""trigger event"" che portano la target audience a considerare l'acquisto di un prodotto appartenente alla categoria qui sotto. Con trigger event intendo eventi nella vita del consumatore che, una volta accaduti, scatenano e sbloccano nuovi bisogni e decisioni nella sua mente. Tipicamente, un trigger event avviene quando nella vita del consumatore succede qualcosa che gli fa rendere conto di avere un problema

Categoria prodotto:

Target audience:

Target market:"
2,Market Research,Statistiche,"Voglio che tu agisca come un ricercatore di mercato. 

Condividi statistiche interessanti sull'argomento qui sotto di cui poche persone parlano. Per favore cita le tue fonti.

#Argomento#"
2,Market Research,Statistiche Competitor,"Voglio che tu agisca come un ricercatore di mercato. 

Quali argomenti tratta più frequentemente il competitor qui sotto?

#URL Competitor#"
2,Market Research,Trend Social,"Voglio che tu agisca come un ricercatore di mercato. 

Analizza i trend online e fornisci le seguenti informazioni:
- Quali sono i post social più popolari sull'argomento qui sotto basati su mi piace e condivisioni?
- Di cosa sta parlando la stampa in relazione all'argomento qui sotto?
- Quali sono i podcast più popolari che parlano dell'argomento qui sotto?

#Argomento#"
3,Concept Campagne,"Campaign ""Big Idea""","Voglio che tu agisca come un Creative Strategist. In base alle caratteristiche indicate qui sotto rispetto al brand, categoria di prodotto e mercato di riferimento, proponi 10 idee per una campagna di marketing creativa da lanciare sul mercato italiano.

Categoria prodotto:

Descrizione brand:

Target audience:"
3,Concept Campagne,Contest & Giveaway,"Voglio che tu agisca come un Creative Strategist. In base alle caratteristiche indicate qui sotto, proponi 10 idee per un contest (game of skill) o giveaway (game of chance) da lanciare sul mercato italiano. L’obiettivo è acquisire contatti qualificati che siano potenzialmente interessati al prodotto.

Categoria prodotto:

Descrizione brand:

Target audience:

Target Market:"
3,Concept Campagne,Viral Content,"Voglio che tu agisca come un Creative Strategist. In base alle caratteristiche indicate qui sotto proponi 10 idee per un contenuto virale da lanciare sul mercato italiano. L’obiettivo è acquisire visibilità e visite sui profili social da utenti qualificati che siano potenzialmente interessati al prodotto.

Categoria prodotto:

Descrizione brand:

Target audience:
"
3,Concept Campagne,Quiz Content,"Voglio che tu agisca come un Creative Strategist. In base alle caratteristiche indicate qui sotto, definisci la struttura di un Quiz da proporre ad utenti in linea con la value proposition dell’azienda. L’obiettivo è acquisire lead qualificati, aiutarli a ottenere risposte e proporgli prodotti in linea con i risultati del quiz.

Descrizione Brand:

Categoria di prodotto:

Target market:

Value Proposition:

Contenuto Landing Page/Home Page:"
4,Meta Ads,Meta Ads - Ad generica,"Crea una Facebook Ad per promuovere il prodotto qui sotto. 

Nome Prodotto:

Categoria di prodotto:

Target audience:

Target market:"
4,Meta Ads,Meta Ads - Hooks generici,"Scrivi altre 3 versioni di Facebook Ad, utilizzando angoli diversi. Per ogni ad, scrivi una headline di 30-60 caratteri e un body copy di 200-400 caratteri. Lascia spazio tra i paragrafi"
4,Meta Ads,Meta Ads - cambio tone of voice,"Ora riscrivi il testo di ogni angolo in modo più

[informale, leggero e divertente]"
4,Meta Ads,Meta Ads - Headline Variations V1,"Ora scrivi 3 headlines alternative per ognuna delle 3 Facebook ads appena create. Utilizza come fonte di ispirazione per la struttura di titoli le seguenti 22 headlines di esempio (i titoli sono in inglese, ma l'output sarà in italiano):


1. FREE: “Free Book Shows You How to Write Sneaky Advertising That Practically Forces People to Send You Money!” 
2. NEW: “Powerful New Seminar Teaches Flea Marketers the Power of ‘Flea-Psych’ to Drive People Into a Buying Frenzy” 
3. AT LAST: “At Last … A Bakery That Uses Only Organic Sugar, Flour, Milk, and Eggs!” 
4. THIS: “This New Invention Stops Any Attacker in His Tracks Without a Gun, Knife, or Black Belt in Karate.” 
5. ANNOUNCING: “Announcing the Hottest New Sandwich Craze From Southern California: The Malibu Crust Pocket!” 
6. WARNING! “WARNING! Some Dog Groomers Wrap a Noose Around Your Dog’s Neck!” 
7. JUST RELEASED: “Just Released: Psychologist’s Study Reveals Little-Known Speaking Patterns That Immediately Put Rude Salespeople in Their Place.” 
8. NOW: “Now You Can Stop Any Attacker Without Guns, Knives, or a Black Belt in Karate.” 
9. HERE’S: “Here’s How a 95-Pound Granny Made a 275-Pound Psychopathic Killer Cry Like a Baby for its Rattle. … .” 
10. THESE: “These Three Very Italian Men Make a Pizza to Kill For.” 
11. WHICH OF: “Which of These Hot Bodies Would YOU Like to Show Off?” 
12. FINALLY: “Finally … a Self-Improvement Seminar That Moves, Empowers, and Transforms You for Life!” 
13. LOOK: “LOOK! Now You Can Buy Cotton Candy Machines at Wholesale Prices.”
14. PRESENTING: “Presenting the Easiest Way Ever Developed to Learn the Piano.” 
15. INTRODUCING: “Introducing the Only Water Ice Stand in Philly that Uses Real Fresh Fruit.” 
16. HOW: “How to Sing Like an American Idol in 90 Days or Less—Guaranteed.”
17. AMAZING: “Amazing New DVD Lowers Your Blood Pressure by Just Watching It!” 
18. DO YOU: “Do You Know How to Stop Vicious Dog Attacks with the Push of a Button?” 
19. WOULD YOU: “Would You Trade $2 for Our Famous Brick-Oven Pizza?” 
20. CAN YOU: “Can You Be Sure Your Child Won’t Get Kidnapped?” 
21. IF YOU: “If You Hate Cleaning Your Pool, This Ad Brings Good News!” 
22. STARTING TODAY: “Starting Today You Can Dance 97% Better … If You Follow These Rules.”"
4,Meta Ads,Meta Ads - Headline Variations V2,"Ora scrivi 5 Meta Ads headlines per ognuna delle precedenti Meta Ads create, seguendo la struttura dei seguenti titoli di esempio (i titoli sono in inglese, ma l'output sarà in italiano). Utilizza il formato che meglio si applica al contesto delle ads..

The Ultimate Guide to {Good, Bad or Desirable Thing}

What Everybody Ought to Know About {Good, Bad or Desirable Thing}

X Lessons I Learned from {Person or Unusual Experience}

To the {role} who will settle for nothing less than {world-class outcome}

Break all the rules and {world-class outcome}

How Your {Service Provider} Is Ripping You Off.
And What to Do About It Right Now.

I Found a {Adjective} Way to {Get Incredible Outcome}

See why we have an {adverb} {adjective} {social problem} in just {short time}.

{Influencer or celebrity} {emotional reaction} {to thing that basically the whole world already understood}

Is this the world’s first  {Good, Bad or Desirable Thing}?

How to Survive Your First  {Good, Bad or Desirable Thing}

How I found out that {unexpected thing} is the best medicine

Let me show you the secrets of {powerful group}

What {Group or Celebrity} Can Teach You About {Unexpected Thing}

People Regularly Pay Me {$} for This Information.
But You Can Have It FREE.

{David-type addresses Goliath-type.} {Result.}

How to Make {$} With Your ________________, Step-by-Step

The complete library of {large #} free and low-cost {desirable resources}

Behind the Scenes of a _____________

{Person does X.} {Another person’s reaction.} Result: priceless.

Is {Trending Topic} a Scam? Find Out If You’re Putting Your {Resource} at Risk

Here Is a Method/System That’s Helping {Blank} to {Blank}

Little Known Ways to {Blank}

The secret ways the {people from a foreign country} {get desirable result}

X Little Known Factors That Could Affect Your {Thing in Which Reader Has a Vested Interest}

Why haven’t {people like your readers} been told these facts?

The Secret of {Desirable Thing}

{#} of {group} are right/wrong/confused about {X}

Is it immoral to {get desirable outcome}?

Recently Downsized/Fired {Profession} Reveals the Dirty Little Secrets to {Outcome}

Do you have the courage to {do something very desirable}?

This {bad thing} just happened. {Outcome or media} is {adjective}.

How to {get incredible result} and {do unexpected thing as a result}.

{Bully does X.} {Bullied reacts with Y.}

I Stopped {Doing Common Thing} Today. You Should Too. Here’s Why.

Who doesn’t like {somewhat accepted taboo}? {Unexpected answer with tease about why.}

I spent {time} {working toward goal}. I just {quitting statement}. Here’s why.

I don’t regret {X}. But here’s what I’d do differently.

Would you {do unimaginable thing}? I just did.
"""
4,Meta Ads,Meta Ads - Interessi,"Fai una lista dei migliori interessi Facebook Ads da utilizzare per il prodotto qui sotto.

Categoria di prodotto:

Target audience:

Target market:"
4,Meta Ads,Meta Ads | Behavioral Marketing,"Voglio che tu agisca come un advertiser. Scrivi 3 versioni di Meta Ads per ogni fase del funnel (awareness, consideration, conversion), utilizzando i principi comportamentali indicati qui sotto. Per ogni ads, scrivi una headline di 30-60 caratteri e un body copy di 200-400 caratteri. Lascia spazio tra i paragrafi.  

Principi comportamentali:

Categoria Prodotto:"
4,Meta Ads,Meta Ads | Behavioural TOF,"Ora scrivi 3 versioni di Facebook Ad, basate sul principio comportamentale dell'autorità. Per ogni Facebook Ad, scrivi: 

3 headline di 30-60 caratteri
1 body copy di 200-400 caratteri

Dividi il testo in paragrafi, lasciando spazio tra ognuno di essi.

Categoria di prodotto:

Target audience:

Target market:"
4,Meta Ads,Meta Ads | Angoli TOF,"Ora scrivi le seguenti varianti ad per la fase di Top Funnel:
- 3 Ads basate sui pain points
- 3 Ads basate sui Desideri
- 3 Ads basate sulle USP
- 3 Ads basata sulle FAQ

3 headline di 30-60 caratteri
1 body copy di 200-400 caratteri

Dividi il testo in paragrafi, lasciando spazio tra ognuno di essi.

Utilizza le informazioni sul brand fornite qui sotto. 

Brand description:


Categoria Prodotto:


USP


Pain Points



Desideri 
"
4,Meta Ads,Meta Ads | Behavioural MOF,"Ora scrivi 3 versioni di Facebook Ad, basate sul principio comportamentale del Friction Removal. Per ogni Facebook ad, scrivi: 

3 headline di 30-60 caratteri
1 body copy di 200-400 caratteri

Dividi il testo in paragrafi, lasciando spazio tra ognuno di essi.

Categoria di prodotto:

Target audience:

Target market:"
4,Meta Ads,Meta Ads | Angoli MOF,"Ora scrivi le seguenti varianti ad per la fase di Mid Funnel:
- 3 Ads basate sui benefici
- 3 Ads basate sulle FAQ
- 3 Ads basate sulle obiezioni

3 headline di 30-60 caratteri
1 body copy di 200-400 caratteri

Dividi il testo in paragrafi, lasciando spazio tra ognuno di essi.

Utilizza le informazioni sul brand fornite qui sotto. 

Brand description:


Categoria Prodotto:


Benefici funzionali:


FAQ:


Obiezioni:


Risposte alle obiezioni:
"
4,Meta Ads,Meta Ads | Behavioural BOF,"Ora scrivi 3 versioni di Facebook Ad, basate sul principio comportamentale della Social Proof. Per ogni Facebook ad, scrivi: 

3 headline di 30-60 caratteri
1 body copy di 200-400 caratteri

Dividi il testo in paragrafi, lasciando spazio tra ognuno di essi.

Categoria di prodotto:

Target audience:

Target market:"
4,Meta Ads,Meta Ads | Angoli Remarketing Ads,"Voglio che tu agisca come un advertiser. Scrivi 3 versioni di Meta Ads per la fase di remarketing, usando angoli differenti, basati sui seguenti principi comportamentali: social proof, scarcity, urgency, loss aversion. Per ogni ads, scrivi una headline di 30-60 caratteri e un body copy di 200-400 caratteri. Lascia spazio tra i paragrafi. Considera le seguenti informazioni come contesto:

Categoria prodotto:

Target audience:

Riprova sociale/testimonianze:

Prodotto da promuovere:

Desideri target audience: "
4,Meta Ads,Meta Ads | PAS Frameowork,"Voglio che tu agisca come un advertiser. Scrivi 3 versioni di Meta Ads, usando angoli differenti, basati su pain points indicati qui sotto. Per ogni ads, scrivi una headline di 30-60 caratteri e un body copy di 200-400 caratteri. Lascia spazio tra i paragrafi. Utilizza il copy framework PAS (problem, agitation, solution).

Categoria prodotto:

Pain Points:

Goal e desideri:"
4,Meta Ads,Meta Ads | AIDA Frameowork,"Voglio che tu agisca come un advertiser. Scrivi 3 versioni di Meta Ads, usando angoli differenti, basati su pain points indicati qui sotto. Per ogni ads, scrivi una headline di 30-60 caratteri e un body copy di 200-400 caratteri. Lascia spazio tra i paragrafi. Utilizza il copy framework AIDA (Attention, Interest, Desire, Action).

Categoria prodotto:

Pain Points:

Goal e desideri:"
4,Meta Ads,Meta Ads | BAB Frameowork,"Voglio che tu agisca come un advertiser. Scrivi 3 versioni di Meta Ads, usando angoli differenti, basati su pain points indicati qui sotto. Per ogni ads, scrivi una headline di 30-60 caratteri e un body copy di 200-400 caratteri. Lascia spazio tra i paragrafi. 

Utilizza il copy framework BAB (Before, After, Bridge)
Before: dove l'utente si trova in questo momento
After: aiuta l'utente a immaginarsi la situazione che vivrebbero se il problema fosse risolto
Bridge: come passano dallo stato ""before"" allo stato ""after"" (il nostro prodotto)

Descrizione brand: 

Categoria prodotto: 

Target Market:

Target audience: 

Pain Points:

Goal e desideri:
"
4,Meta Ads,Meta Ads | 4P's Frameowork,"Voglio che tu agisca come un advertiser. Scrivi 3 versioni di Meta Ads, usando angoli differenti, basati su pain points indicati qui sotto. Per ogni ads, scrivi una headline di 30-60 caratteri e un body copy di 200-400 caratteri. Lascia spazio tra i paragrafi. 

Utilizza il copy framework 4P's, che è così costruito:
Picture – Create a vivid scene prospects can easily put themselves in, whether about an existing pain or an aspirational future
Promise – State how your solution will end that painful scene or bring that aspirational scene to life for them
Prove – Support your promise! What are the consequences if you fail to do as promised? Who else has already seen you keep your promise, and how? What can you demonstrate to skeptics that your solution is easily going to ensure the promise is kept?
Push – Nudge the prospect to take action

Categoria prodotto:

Pain Points:

Goal e desideri:"
4,Meta Ads,Meta Ads - Ads Tabella Full Funnel,"Voglio che tu agisca come un Advertiser. Ti forniro' informazioni su target audience, categoria prodotto, pain points, desideri, benefici del prodotto, angoli di comunicazione e modello di copywriting. Tu mi fornirai il testo delle Meta Ads.

Categoria prodotto:

Target audience:

Target market:

Pain Points:

Goal e desideri:

Benefici prodotto:

Angoli di comunicazione:

Modello di copywriting:

Output: Crea 3 opzioni di Meta Ads per ogni fase del funnel (Awareness, Consideration, Conversion). 

3 headline di 30-60 caratteri
1 body copy di 200-400 caratteri

Dividi il testo in paragrafi, lasciando spazio tra ognuno di essi.

Raggruppa l'output in una tabella avente questi valori:

Fase del funnel: 
Ad variation #:
Hook: 
Body:
Call to Action:



  "
5,Google Ads,Google Ads - keywords,"Voglio che tu agisca come un PPC specialist. Fai una lista delle 50 top keywords ad alto intento per il prodotto indicato qui sotto. Raggruppale in adgroups in base al loro tema. Ogni adgroup deve fare riferimento ad un gruppo di keywords simili tra loro, in modo che ogni ad sia esclusiva al gruppo di keywords. L'output deve essere in questo formato:

Campaign
Adgroup 
Keywords

Categoria prodotto: Oli e creme per la pelle naturali, di qualità, sostenibili e senza sostanze chimiche nocive.

Prodotto di riferimento/Offerta:
Pure Natural Australian Jojoba 200ml

Costo: € 53

Questo olio è diverso dagli altri oli perché non è un olio, ma una cera liquida che ha la stessa struttura molecolare degli esteri di cera naturali presenti nella pelle umana sana. L'olio di Jojoba idrata e ripara la pelle sensibile e problematica, è ricco di vitamine A, D ed E e di omega 6 e 9, aiuta a lenire la secchezza, la disidratazione, il rossore e l'irritazione. 

L'Australian Wadi-Wadi Jojoba, coltivato in modo sostenibile nella fattoria Beresford a Yenda, ha proprietà curative incredibili e offre risultati visibilmente trasformativi in modo naturale. È clinicamente dimostrato che idrata fino a 8 ore, è ipoallergenico e approvato dai dermatologi. La varietà australiana Wadi-Wadi contiene quantità più elevate di Omega 9 rispetto ad altre varietà di Jojoba e agisce come un blocco di costruzione nelle cellule della pelle, rendendo la pelle più forte, più sana e più giovane. Anche se non è ""certificata biologica"", l'Australian Wadi-Wadi Jojoba segue gli stessi rigorosi standard di una fattoria biologica. Non viene testato sugli animali ed è sicuro per tutti i tipi di pelle, di tutte le età."
